Plot;Season;GEP (gCO2.m².hour-1);ER (gCO2.m².hour-1);NEE (gCO2.m².hour-1);B;G;R;RE;NIR;DOY;PAR;TEMP
P1;May;-1.86;1.3;-0.56;0.04;0.09;0.1;0.3;0.43;137;0.33;7.36
P3;May;-1.47;1.28;-0.19;0.04;0.09;0.07;0.25;0.4;137;0.33;7.36
P4;May;-1.25;0.89;-0.36;0.04;0.1;0.08;0.28;0.42;137;0.33;7.36
P5;May;-1.84;1.19;-0.65;0.04;0.07;0.05;0.18;0.34;137;0.33;7.36
P6;May;-1.27;0.96;-0.31;0.05;0.1;0.09;0.24;0.37;137;0.33;7.36
P7;May;-1.2;0.86;-0.34;0.03;0.06;0.04;0.18;0.32;137;0.33;7.36
P8;May;-0.93;0.97;0.04;0.04;0.06;0.07;0.18;0.26;137;0.33;7.36
P9;May;-1.12;0.94;-0.18;0.03;0.09;0.07;0.25;0.36;137;0.33;7.36
P1;June;-1.46;0.8;-0.66;0.02;0.06;0.05;0.22;0.35;166;0.45;18.08
P3;June;-1.23;0.76;-0.47;0.02;0.06;0.04;0.19;0.34;166;0.45;18.08
P4;June;-1.22;0.64;-0.58;0.02;0.07;0.04;0.21;0.36;166;0.45;18.08
P5;June;-1.8;0.75;-1.04;0.03;0.05;0.03;0.16;0.33;166;0.45;18.08
P6;June;-1.1;0.55;-0.54;0.03;0.06;0.05;0.18;0.3;166;0.45;18.08
P7;June;-1.37;0.62;-0.76;0.02;0.05;0.03;0.17;0.32;166;0.45;18.08
P8;June;-1.06;0.7;-0.37;0.02;0.06;0.04;0.17;0.28;166;0.45;18.08
P9;June;-1.24;0.63;-0.6;0.02;0.06;0.04;0.22;0.37;166;0.45;18.08
P1;July;-1.46;1.36;-0.1;0.03;0.07;0.06;0.24;0.38;191;0.45;26.56
P2;July;-1.48;1.6;0.12;0.03;0.07;0.05;0.21;0.35;191;0.45;26.56
P4;July;-1.46;1.24;-0.22;0.03;0.08;0.05;0.23;0.38;191;0.45;26.56
P5;July;-1.49;1.44;-0.05;0.03;0.06;0.04;0.19;0.36;191;0.45;26.56
P6;July;-1.83;1.4;-0.44;0.03;0.07;0.05;0.2;0.34;191;0.45;26.56
P7;July;-2;1.9;-0.1;0.03;0.06;0.03;0.19;0.37;191;0.45;26.56
P8;July;-0.89;1.18;0.29;0.03;0.06;0.04;0.19;0.32;191;0.45;26.56
P9;July;-2.07;1.46;-0.62;0.03;0.08;0.04;0.25;0.46;191;0.45;26.56
P1;October;-0.16;0.22;0.07;0.05;0.07;0.1;0.29;0.45;278;0.66;20.85
P2;October;-0.47;0.45;-0.02;0.04;0.1;0.08;0.28;0.42;278;0.66;20.85
P3;October;-0.77;0.73;-0.04;0.03;0.09;0.09;0.28;0.45;278;0.66;20.85
P4;October;-0.71;0.51;-0.21;0.04;0.11;0.08;0.31;0.48;278;0.66;20.85
P5;October;-0.57;0.55;-0.02;0.04;0.08;0.07;0.23;0.4;278;0.66;20.85
P6;October;-0.88;0.31;-0.57;0.03;0.09;0.06;0.24;0.39;278;0.66;20.85
P7;October;-0.54;0.44;-0.1;0.05;0.07;0.1;0.21;0.36;278;0.66;20.85
P8;October;-0.58;0.43;-0.15;0.03;0.07;0.07;0.22;0.35;278;0.66;20.85
P9;October;-0.82;0.43;-0.39;0.01;0.01;0.01;0.03;0.06;278;0.66;20.85
P2;May;-2.65;2.11;-0.54;0.04;0.07;0.06;0.19;0.29;137;0.33;7.36
P2;June;-2.46;1.29;-1.17;0.02;0.06;0.04;0.18;0.3;166;0.45;18.08
P3;July;-2.68;2.25;-0.44;0.03;0.07;0.04;0.21;0.38;191;0.45;26.56
